Human	Mouse	Rat
MRPL50	Mrpl50	Mrpl50
GFM1	Gfm1	Gfm1
USP39	Usp39	Usp39
LARP7	Larp7	Larp7
FERRY3	D6Wsu163e	Ferry3
SELENOI	Selenoi	Selenoi
YIPF3	Yipf3	Yipf3
POLR1F	Polr1f	Polr1f
DESI1	Desi1	Desi1
MED10	Med10	Med10
ATP5PO	Atp5po	Atp5po
VCF1	Vcf1	Vcf1
VPS25	Vps25	Vps25
RTCB	Rtcb	Rtcb
TRIM36	Trim36	Trim36
MYDGF	Mydgf	Mydgf
NOPCHAP1	Nopchap1	Nopchap1
TINF2	Tinf2	Tinf2
NSUN2	Nsun2	Nsun2
NOP16	Nop16	Nop16
CEP63	Cep63	Cep63
SERP1	Serp1	Serp1
AGPAT3	Agpat3	Agpat3
TOMM70	Tomm70a	Tomm70
REEP3	Reep3	Reep3
DCAF11	Dcaf11	Dcaf11
TRPM2	Trpm2	Trpm2
SLCO1B3	Slco1b2	Slco1b2
GATD3	Gatd3a	Gatd3a
CTXN1	Ctxn1	Ctxn1
STRN	Strn	Strn
CDH7	Cdh7	Cdh7
CDH10	Cdh10	Cdh10
CDH22	Cdh22	Cdh22
CD69	NA	Cd69
KLK6	NA	Klk6
CLIP2	Clip2	Clip2
RPL23	Rpl23	Rpl23
COQ3	Coq3	Coq3
CBLIF	NA	Cblif
GPX4	Gpx4	Gpx4
PLCG2	Plcg2	Plcg2
PLA2G5	NA	Pla2g5
PKN1	Pkn1	Pkn1
IRS2	Irs2	Irs2
PTPMT1	Ptpmt1	Ptpmt1
HMGB2	Hmgb2	Hmgb2
TAS1R1	Tas1r1	Tas1r1
PAK2	Pak2	Pak2
AHCY	Ahcy	Ahcy
MSRA	Msra	Msra
VGF	Vgf	Vgf
NPY4R2	NA	Npy4r
DIO3	Dio3	Dio3
SCAMP1	Scamp1	Scamp1
AMHR2	Amhr2	Amhr2
MYH7	Myh7	Myh7
LSAMP	Lsamp	Lsamp
ATP2B1	Atp2b1	Atp2b1
ATP2B3	Atp2b3	Atp2b3
ATP2B4	Atp2b4	Atp2b4
GRIA3	Gria3	Gria3
HMGCS1	Hmgcs1	Hmgcs1
SLC38A2	Slc38a2	Slc38a2
SV2C	Sv2c	Sv2c
PNCK	Pnck	Pnck
KCNQ3	Kcnq3	Kcnq3
KLRC1	NA	Klrc1
GABRA5	Gabra5	Gabra5
HSPA13	Hspa13	Hspa13
GALNT7	Galnt7	Galnt7
COLQ	Colq	Colq
ZNHIT2	Znhit2	Znhit2
LIMD1	Limd1	Limd1
TPK1	Tpk1	Tpk1
MGA	Mga	Mga
RABGAP1L	Rabgap1l	Rabgap1l
BAG3	Bag3	Bag3
NDRG2	Ndrg2	Ndrg2
NDRG3	Ndrg3	Ndrg3
ZNF385A	Zfp385a	Zfp385a
BCAR3	Bcar3	Bcar3
HIP1R	Hip1r	Hip1r
IGFBP7	Igfbp7	Igfbp7
HSPB7	Hspb7	Hspb7
STAU2	Stau2	Stau2
TNFRSF19	Tnfrsf19	Tnfrsf19
SMTN	Smtn	Smtn
MAPK12	Mapk12	Mapk12
PMM1	Pmm1	Pmm1
SULT4A1	Sult4a1	Sult4a1
DPF1	Dpf1	Dpf1
NINJ2	Ninj2	Ninj2
PDE7B	Pde7b	Pde7b
RNF11	Rnf11	Rnf11
CABP5	Cabp5	Cabp5
CABP2	Cabp2	NA
CABP1	Cabp1	Cabp1
ULK2	Ulk2	Ulk2
GTSE1	Gtse1	Gtse1
SCMH1	Scmh1	Scmh1
CSPG5	Cspg5	Cspg5
IQGAP1	Iqgap1	Iqgap1
CLIC4	Clic4	Clic4
HDGFL3	Hdgfl3	Hdgfl3
BOK	Bok	Bok
RAB3IP	Rab3ip	Rab3ip
OPN4	Opn4	Opn4
DNAJC12	Dnajc12	Dnajc12
ZNF292	Zfp292	Zfp292
FBXW2	Fbxw2	Fbxw2
SPDEF	Spdef	Spdef
PCSK1N	Pcsk1n	Pcsk1n
RNF17	Rnf17	Rnf17
TIMM13	Timm13	Timm13
TIMM9	Timm9	Timm9
TIMM8B	Timm8b	Timm8b
TIMM8A	Timm8a1	Timm8a1
TIMM10	Timm10	Timm10
MELTF	Meltf	Meltf
CTTNBP2	Cttnbp2	Cttnbp2
SLC39A1	Slc39a1	Slc39a1
FKBP3	Fkbp3	Fkbp3
MMP20	Mmp20	Mmp20
SLC22A4	Slc22a4	NA
ADAMTS8	Adamts8	Adamts8
FBXW4	Fbxw4	Fbxw4
FBXW5	Fbxw5	Fbxw5
FBXL6	Fbxl6	Fbxl6
KDM2B	Kdm2b	Kdm2b
FBXL12	Fbxl12	Fbxl12
MLF2	Mlf2	Mlf2
GNL3	Gnl3	Gnl3
APLN	Apln	Apln
FOXE3	Foxe3	Foxe3
ANGPTL3	Angptl3	Angptl3
SLAMF6	Slamf6	Slamf6
GLRX3	Glrx3	Glrx3
SNAI3	Snai3	Snai3
ZBTB18	Zbtb18	Zbtb18
VPS26A	Vps26a	Vps26a
TOR1A	Tor1a	Tor1a
ZNF330	Zfp330	Zfp330
TOR2A	Tor2a	Tor2a
TOR1B	Tor1b	Tor1b
TOR3A	Tor3a	Tor3a
SLC46A2	Slc46a2	Slc46a2
LMCD1	Lmcd1	Lmcd1
FGD3	Fgd3	Fgd3
PTTG1	Pttg1	Pttg1
USP25	Usp25	Usp25
USP21	Usp21	Usp21
HNF4G	Hnf4g	Hnf4g
ZNF354C	Zfp354c	Zfp354c
RNF19A	Rnf19a	Rnf19a
ABT1	Abt1	Abt1
ADAT1	Adat1	Adat1
BIN1	Bin1	Bin1
LCMT1	Lcmt1	Lcmt1
CBX8	Cbx8	Cbx8
CNGB3	Cngb3	Cngb3
SIVA1	Siva1	Siva1
PIK3CG	Pik3cg	Pik3cg
AASS	Aass	Aass
MAPK8IP3	Mapk8ip3	Mapk8ip3
DDX25	Ddx25	Ddx25
VAPA	Vapa	Vapa
SLC7A9	Slc7a9	Slc7a9
HACD1	Hacd1	Hacd1
NOX4	Nox4	Nox4
THOP1	Thop1	Thop1
TXNRD1	Txnrd1	Txnrd1
E2F6	E2f6	E2f6
HSPA14	Hspa14	Hspa14
EBI3	Ebi3	Ebi3
PROK2	Prok2	Prok2
ERCC4	Ercc4	Ercc4
LATS2	Lats2	Lats2
SALL2	Sall2	Sall2
ERO1A	Ero1a	Ero1a
TMPRSS2	Tmprss2	Tmprss2
MRPS7	Mrps7	Mrps7
MFAP5	Mfap5	Mfap5
EXOC6	Exoc6	Exoc6
SLC23A2	Slc23a2	Slc23a2
SLC6A12	NA	Slc6a12
PDE3A	Pde3a	Pde3a
LIPF	NA	Lipf
GSK3A	Gsk3a	Gsk3a
SLC6A8	Slc6a8	Slc6a8
ELANE	Elane	Elane
POSTN	Postn	Postn
H1-2	H1f2	H1f2
H1-4	H1f4	H1f4
SACS	Sacs	Sacs
SIRT6	Sirt6	Sirt6
DKKL1	Dkkl1	Dkkl1
ICOSLG	Icosl	Icoslg
SAP30L	Sap30l	Sap30l
FBXO8	Fbxo8	Fbxo8
FBXW7	Fbxw7	Fbxw7
FBH1	Fbh1	Fbh1
FBXL17	Fbxl17	Fbxl17
FBXO16	Fbxo16	Fbxo16
FBXO17	Fbxo17	Fbxo17
FBXO15	Fbxo15	Fbxo15
TFR2	Tfr2	Tfr2
CRIM1	Crim1	Crim1
PNPLA6	Pnpla6	Pnpla6
DLC1	Dlc1	Dlc1
ATP8A2	Atp8a2	Atp8a2
ATP11A	Atp11a	Atp11a
ATP9B	Atp9b	Atp9b
MAPK6	Mapk6	Mapk6
NT5C	Nt5c	Nt5c
POLG2	Polg2	Polg2
RGS1	Rgs1	Rgs1
RGS6	Rgs6	Rgs6
RGS3	Rgs3	Rgs3
DKK3	Dkk3	Dkk3
RGS11	Rgs11	Rgs11
LSM4	Lsm4	Lsm4
PLPP2	Plpp2	Plpp2
HS6ST1	Hs6st1	Hs6st1
HS6ST2	Hs6st2	Hs6st2
HS6ST3	Hs6st3	Hs6st3
FBXL8	Fbxl8	Fbxl8
FBXL3	Fbxl3	Fbxl3
ACSL4	Acsl4	Acsl4
MAGI2	Magi2	Magi2
ORC3	Orc3	Orc3
KLF13	Klf13	Klf13
SH3BGR	Sh3bgr	Sh3bgr
DMRT1	Dmrt1	Dmrt1
COPB2	Copb2	Copb2
GNE	Gne	Gne
SLC25A13	Slc25a13	Slc25a13
CAPN15	Capn15	Capn15
RNF10	Rnf10	Rnf10
SPAST	Spast	Spast
NTM	Ntm	Ntm
KEAP1	Keap1	Keap1
HPCAL1	NA	Hpcal1
HPCAL4	Hpcal4	Hpcal4
PRKN	Prkn	Prkn
TMOD4	Tmod4	Tmod4
TMOD3	Tmod3	Tmod3
TMOD2	Tmod2	Tmod2
NEU3	Neu3	Neu3
STAG3	Stag3	Stag3
SCLY	Scly	Scly
CHEK2	Chek2	Chek2
NCKAP1	Nckap1	Nckap1
HMGN5	Hmgn5	Hmgn5
IL17RB	Il17rb	Il17rb
PREB	Preb	Preb
EXOSC9	Exosc9	Exosc9
EXOSC10	Exosc10	Exosc10
OLIG2	Olig2	Olig2
OLIG1	Olig1	Olig1
GRB14	Grb14	Grb14
IRX4	Irx4	Irx4
GALNS	Galns	Galns
MYADM	Myadm	Myadm
HNRNPDL	Hnrnpdl	Hnrnpdl
NASP	Nasp	Nasp
KLRG1	Klrg1	Klrg1
TNFSF14	Tnfsf14	Tnfsf14
IL27RA	Il27ra	Il27ra
MINK1	Mink1	Mink1
UCHL3	Uchl3	Uchl3
SLC7A8	Slc7a8	Slc7a8
ST6GALNAC6	St6galnac6	St6galnac6
CDON	Cdon	Cdon
UBA2	Uba2	Uba2
PDCD7	Pdcd7	Pdcd7
MPP2	Mpp2	Mpp2
CPSF2	Cpsf2	Cpsf2
H2AZ1	H2az1	H2az1
TNK2	Tnk2	Tnk2
RGS14	Rgs14	Rgs14
PPP2R1A	Ppp2r1a	Ppp2r1a
DDAH2	Ddah2	Ddah2
SRPX	Srpx	Srpx
SRRM1	Srrm1	Srrm1
CTPS1	Ctps1	Ctps1
ECH1	Ech1	Ech1
RUNDC3A	Rundc3a	Rundc3a
RAMP1	Ramp1	Ramp1
HNRNPU	Hnrnpu	Hnrnpu
CLEC4F	Clec4f	Clec4f
MCRS1	Mcrs1	Mcrs1
CCNC	Ccnc	Ccnc
RIF1	Rif1	Rif1
TMEM141	Tmem141	Tmem141
TUBGCP4	Tubgcp4	Tubgcp4
FUBP1	Fubp1	Fubp1
ATG13	Atg13	Atg13
RNF24	Rnf24	Rnf24
CCDC39	Ccdc39	Ccdc39
KNSTRN	Knstrn	Knstrn
KCTD18	Kctd18	Kctd18
CDK2AP2	Cdk2ap2	Cdk2ap2
JPT2	Jpt2	Jpt2
R3HCC1L	R3hcc1l	R3hcc1l
NUS1	Nus1	Nus1
UMODL1	Umodl1	Umodl1
PIBF1	Pibf1	Pibf1
ANKRD22	Ankrd22	Ankrd22
BBS1	Bbs1	Bbs1
PBK	Pbk	Pbk
PPP6R3	Ppp6r3	Ppp6r3
PPP1R10	Ppp1r10	Ppp1r10
RAB11FIP5	Rab11fip5	Rab11fip5
COQ5	Coq5	Coq5
MFHAS1	Mfhas1	Mfhas1
TMEM38B	Tmem38b	Tmem38b
HGSNAT	Hgsnat	Hgsnat
AGPAT5	Agpat5	Agpat5
CCDC97	Ccdc97	Ccdc97
KCNK6	Kcnk6	Kcnk6
CAMK1	Camk1	Camk1
TMEM222	Tmem222	Tmem222
ODF2L	Odf2l	Odf2l
RRAGD	Rragd	Rragd
RBM34	Rbm34	Rbm34
ANAPC4	Anapc4	Anapc4
ANKZF1	Ankzf1	Ankzf1
COMMD2	Commd2	Commd2
REEP1	Reep1	Reep1
CDCA8	Cdca8	Cdca8
KLHL7	Klhl7	Klhl7
STBD1	Stbd1	Stbd1
ATXN1L	Atxn1l	Atxn1l
VPS37A	Vps37a	Vps37a
WWC2	Wwc2	Wwc2
RCN3	Rcn3	Rcn3
ADGRA1	Adgra1	Adgra1
MACIR	Macir	Macir
ZNF644	Zfp644	Zfp644
SEPTIN11	Septin11	Septin11
RHPN2	Rhpn2	Rhpn2
ECHDC2	Echdc2	Echdc2
PPP2R2D	Ppp2r2d	Ppp2r2d
TAX1BP1	Tax1bp1	Tax1bp1
MRPL48	Mrpl48	Mrpl48
TET1	Tet1	Tet1
SLC46A1	Slc46a1	Slc46a1
CTDSP2	Ctdsp2	Ctdsp2
COA3	Coa3	Coa3
ANGEL2	Angel2	Angel2
SNHG14	Snhg14	NA
CARHSP1	Carhsp1	Carhsp1
CENPO	Cenpo	Cenpo
DDX56	Ddx56	Ddx56
ZNF622	Zfp622	Zfp622
NHP2	Nhp2	Nhp2
METTL17	Mettl17	Mettl17
ACAA2	Acaa2	Acaa2
SGTA	Sgta	Sgta
PARP8	Parp8	Parp8
CDC23	Cdc23	Cdc23
CCDC69	Ccdc69	Ccdc69
TRMT10C	Trmt10c	Trmt10c
DHRS1	Dhrs1	Dhrs1
TSPAN14	Tspan14	Tspan14
NCALD	Ncald	Ncald
BRMS1L	Brms1l	Brms1l
CBX7	Cbx7	Cbx7
SUZ12	Suz12	Suz12
CDKN2AIPNL	Cdkn2aipnl	Cdkn2aipnl
NIT2	Nit2	Nit2
ESYT2	Esyt2	Esyt2
CISD1	Cisd1	Cisd1
WIPI1	Wipi1	Wipi1
NUDCD2	Nudcd2	Nudcd2
LDLRAD4	Ldlrad4	Ldlrad4
ECHDC1	Echdc1	Echdc1
ARHGEF25	Arhgef25	Arhgef25
CPSF4L	Cpsf4l	Cpsf4l
E2F7	E2f7	E2f7
NCAPH2	Ncaph2	Ncaph2
CD300LG	Cd300lg	Cd300lg
METTL2A	Mettl2	Mettl2
SETD3	Setd3	Setd3
ZWINT	Zwint	Zwint
TXNDC17	Txndc17	Txndc17
KRR1	Krr1	Krr1
ZNF410	Zfp410	Zfp410
SLC52A2	Slc52a2	Slc52a2
ZNF18	Zkscan6	Zfp18
CCDC59	Ccdc59	Ccdc59
CCDC43	Ccdc43	Ccdc43
ANAPC16	Anapc16	Anapc16
FAM3B	Fam3b	Fam3b
TSPYL2	Tspyl2	Tspyl2
LDHD	Ldhd	Ldhd
RUFY3	Rufy3	Rufy3
LURAP1L	Lurap1l	Lurap1l
PNRC2	Pnrc2	Pnrc2
TMX4	Tmx4	Tmx4
DNLZ	Dnlz	Dnlz
DBNDD2	Dbndd2	Dbndd2
CNOT11	Cnot11	Cnot11
SGSM1	Sgsm1	Sgsm1
MTG2	Mtg2	Mtg2
GRAMD1A	Gramd1a	Gramd1a
CDIPT	Cdipt	Cdipt
SLX4	Slx4	Slx4
PUM3	Pum3	Pum3
RGS7BP	Rgs7bp	Rgs7bp
SCO1	Sco1	Sco1
RBFOX3	Rbfox3	Rbfox3
RNASEK	Rnasek	Rnasek
AHI1	Ahi1	Ahi1
ZMIZ2	Zmiz2	Zmiz2
DLG3	Dlg3	Dlg3
MYBPH	Mybph	Mybph
NUB1	Nub1	Nub1
BATF	Batf	Batf
PLRG1	Plrg1	Plrg1
PDLIM3	Pdlim3	Pdlim3
NXF1	Nxf1	Nxf1
FOLH1	Folh1	Folh1
CNTNAP1	Cntnap1	Cntnap1
NUCB2	Nucb2	Nucb2
UBE2K	Ube2k	Ube2k
NPTX2	Nptx2	Nptx2
BANP	Banp	Banp
PGRMC1	Pgrmc1	Pgrmc1
VAMP4	Vamp4	Vamp4
STX7	Stx7	Stx7
MTMR1	Mtmr1	Mtmr1
TOMM40	Tomm40	Tomm40
GOSR1	Gosr1	Gosr1
EIF3G	Eif3g	Eif3g
PLA2G6	Pla2g6	Pla2g6
NUP54	Nup54	Nup54
CHST3	Chst3	Chst3
MTX2	Mtx2	Mtx2
USP2	Usp2	Usp2
SDCBP	Sdcbp	Sdcbp
HNRNPA2B1	Hnrnpa2b1	Hnrnpa2b1
PSMD10	Psmd10	Psmd10
PRDX4	Prdx4	Prdx4
TXNL1	Txnl1	Txnl1
ATOH7	Atoh7	Atoh7
PPP1R3C	Ppp1r3c	Ppp1r3c
EXOC7	Exoc7	Exoc7
BYSL	Bysl	Bysl
HTATIP2	Htatip2	Htatip2
STK39	Stk39	Stk39
HIF3A	Hif3a	Hif3a
B4GALT2	B4galt2	B4galt2
CORIN	Corin	Corin
SYT5	Syt5	Syt5
SEC61A1	Sec61a1	Sec61a1
YBX2	Ybx2	Ybx2
TSNAX	Tsnax	Tsnax
DCTN3	Dctn3	Dctn3
CD164	Cd164	Cd164
PCDH12	Pcdh12	Pcdh12
TSLP	Tslp	Tslp
ZPBP	Zpbp	Zpbp
NAP1L1	Nap1l1	Nap1l1
SNRPA	Snrpa	Snrpa
MAP3K6	Map3k6	Map3k6
CLASRP	Clasrp	Clasrp
NONO	Nono	Nono
VTI1A	Vti1a	Vti1a
VTI1B	Vti1b	Vti1b
RECK	Reck	Reck
KRT35	Krt35	Krt35
FUT8	Fut8	Fut8
BLCAP	Blcap	Blcap
VAMP5	Vamp5	Vamp5
CNOT4	Cnot4	Cnot4
CLDN7	Cldn7	Cldn7
B3GNT2	B3gnt2	B3gnt2
INSM1	Insm1	Insm1
PORCN	Porcn	Porcn
PRRC2A	Prrc2a	Prrc2a
TLR5	Tlr5	Tlr5
OAZ3	Oaz3	Oaz3
DDX39B	Ddx39b	Ddx39b
PRG3	Prg3	Prg3
TUBA8	Tuba8	Tuba8
RWDD2B	Rwdd2b	Rwdd2b
MAP3K14	Map3k14	Map3k14
SEPTIN9	Septin9	Septin9
ZRANB2	Zranb2	Zranb2
COL5A3	Col5a3	Col5a3
RAB25	Rab25	Rab25
RAB11A	Rab11a	Rab11a
PKD2L2	Pkd2l2	Pkd2l2
CAPRIN1	Caprin1	Caprin1
SLC5A3	Slc5a3	Slc5a3
CELSR2	Celsr2	Celsr2
NPHP1	Nphp1	Nphp1
CDKL2	Cdkl2	Cdkl2
SART3	Sart3	Sart3
PPM1D	Ppm1d	Ppm1d
NUDT5	Nudt5	Nudt5
CLPP	Clpp	Clpp
SLC7A10	Slc7a10	Slc7a10
GAL3ST1	Gal3st1	Gal3st1
RCAN2	Rcan2	Rcan2
RCAN3	Rcan3	Rcan3
PHGR1	Phgr1	Phgr1
SLC40A1	Slc40a1	Slc40a1
CHRM5	Chrm5	Chrm5
GPATCH11	Gpatch11	Gpatch11
RFX5	Rfx5	Rfx5
NGEF	Ngef	Ngef
DDX20	Ddx20	Ddx20
LPAR2	Lpar2	Lpar2
NELL2	Nell2	Nell2
DIAPH2	Diaph2	Diaph2
DEAF1	Deaf1	Deaf1
GIPC2	Gipc2	Gipc2
UEVLD	Uevld	Uevld
IRF7	Irf7	Irf7
CKS1B	Cks1b	Cks1b
POLM	Polm	Polm
ARHGEF7	Arhgef7	Arhgef7
RPS28	Rps28	Rps28
PMM2	Pmm2	Pmm2
ACTR1A	Actr1a	Actr1a
IRF3	Irf3	Irf3
PDLIM1	Pdlim1	Pdlim1
LSR	Lsr	Lsr
ACRBP	Acrbp	Acrbp
ATXN10	Atxn10	Atxn10
IRF6	Irf6	Irf6
SPAG5	Spag5	Spag5
ZFTRAF1	Zftraf1	Zftraf1
DNAL4	Dnal4	Dnal4
RASA4	Rasa4	Rasa4
EGFL6	Egfl6	Egfl6
COPG2	Copg2	Copg2
COPG1	Copg1	Copg1
ICOS	Icos	Icos
KAT6B	Kat6b	Kat6b
RRAGC	Rragc	Rragc
CPSF4	Cpsf4	Cpsf4
RABEP1	Rabep1	Rabep1
AKAP8L	Akap8l	Akap8l
PABPN1	Pabpn1	Pabpn1
RNF5	Rnf5	Rnf5
SNX3	Snx3	Snx3
CCRL2	Ccrl2	Ccrl2
SULT2B1	Sult2b1	Sult2b1
ZNF316	Zfp316	Zfp316
SEPTIN1	Septin1	Septin1
ARL6IP1	Arl6ip1	Arl6ip1
GOLGA4	Golga4	Golga4
CD160	Cd160	Cd160
PCDH7	Pcdh7	Pcdh7
RPL36	Rpl36	Rpl36
B3GALT4	B3galt4	B3galt4
CD320	Cd320	Cd320
ADCY4	Adcy4	Adcy4
APOB	Apob	Apob
CLTC	Cltc	Cltc
DGKB	Dgkb	Dgkb
ITPKB	Itpkb	Itpkb
KCNN1	Kcnn1	Kcnn1
KCNN2	Kcnn2	Kcnn2
KCNN3	Kcnn3	Kcnn3
MAPK4	Mapk4	Mapk4
PFKFB4	Pfkfb4	Pfkfb4
RGS10	Rgs10	Rgs10
RGS12	Rgs12	Rgs12
RGS8	Rgs8	Rgs8
SLC14A1	Slc14a1	Slc14a1
SSBP1	Ssbp1	Ssbp1
CNN3	Cnn3	Cnn3
ARHGEF5	Arhgef5	Arhgef5
ELOVL1	Elovl1	Elovl1
ELOVL2	Elovl2	Elovl2
GNPNAT1	Gnpnat1	Gnpnat1
ATF7IP	Atf7ip	Atf7ip
SCFD1	Scfd1	Scfd1
ELP5	Elp5	Elp5
IRX5	Irx5	Irx5
SKAP2	Skap2	Skap2
RASSF5	Rassf5	Rassf5
EPB41L4B	Epb41l4b	Epb41l4b
RPP30	Rpp30	Rpp30
CTNNAL1	Ctnnal1	Ctnnal1
ZNF326	Zfp326	Zfp326
GP9	Gp9	Gp9
NME6	Nme6	Nme6
CHST2	Chst2	Chst2
PRSS16	Prss16	Prss16
AZIN1	Azin1	Azin1
CACNG3	Cacng3	Cacng3
CACNG4	Cacng4	Cacng4
CACNG6	Cacng6	Cacng6
SMARCAL1	Smarcal1	Smarcal1
CPQ	Cpq	Cpq
PHC2	Phc2	Phc2
MTMR7	Mtmr7	Mtmr7
MCM3AP	Mcm3ap	Mcm3ap
SIT1	Sit1	Sit1
RFK	Rfk	Rfk
NCAPG	Ncapg	Ncapg
GABBR1	Gabbr1	Gabbr1
CRLF3	Crlf3	Crlf3
PPT2	Ppt2	Ppt2
BET1L	Bet1l	Bet1l
YWHAB	Ywhab	Ywhab
WHR1	Stk19	Whr1
SLC4A4	Slc4a4	Slc4a4
NDUFA1	Ndufa1	Ndufa1
RAMP2	Ramp2	Ramp2
ENPP3	Enpp3	Enpp3
ATP6AP1	Atp6ap1	Atp6ap1
FMN2	Fmn2	Fmn2
CLDN6	Cldn6	Cldn6
CLDN8	Cldn8	Cldn8
BARHL1	Barhl1	Barhl1
HGFAC	Hgfac	Hgfac
DNMT3L	Dnmt3l	Dnmt3l
UNC93B1	Unc93b1	Unc93b1
NFAT5	Nfat5	Nfat5
ASAH2	Asah2	Asah2
IL36RN	Il36rn	Il36rn
CPSF3	Cpsf3	Cpsf3
TOLLIP	Tollip	Tollip
MEFV	Mefv	Mefv
MKRN1	Mkrn1	Mkrn1
DLL4	Dll4	Dll4
HPGDS	Hpgds	Hpgds
APBB1IP	Apbb1ip	Apbb1ip
SYT6	Syt6	Syt6
SYT7	Syt7	Syt7
SYT10	Syt10	Syt10
NAP1L3	Nap1l3	Nap1l3
DNAAF11	Dnaaf11	Dnaaf11
NUP210	Nup210	Nup210
FOXO4	Foxo4	Foxo4
PCNX1	Pcnx1	Pcnx1
SOCS6	Socs6	Socs6
ABHD2	Abhd2	Abhd2
UBQLN2	Ubqln2	Ubqln2
TBC1D8	Tbc1d8	Tbc1d8
SFRP5	Sfrp5	Sfrp5
ST3GAL6	St3gal6	St3gal6
PRPF40B	Prpf40b	Prpf40b
NPFF	Npff	Npff
EXTL3	Extl3	Extl3
PAF1	Paf1	Paf1
PRICKLE3	Prickle3	Prickle3
NPHS1	Nphs1	Nphs1
FTSJ1	Ftsj1	Ftsj1
PQBP1	Pqbp1	Pqbp1
MAGIX	Magix	Magix
PDGFC	Pdgfc	Pdgfc
WDR45	Wdr45	Wdr45
PRAF2	Praf2	Praf2
CCDC22	Ccdc22	Ccdc22
OTUD5	Otud5	Otud5
GRIPAP1	Gripap1	Gripap1
PPP1R3F	Ppp1r3f	Ppp1r3f
CCDC120	Ccdc120	Ccdc120
SFMBT1	Sfmbt1	Sfmbt1
USP27X	Usp27x	Usp27x
CACNA1F	Cacna1f	Cacna1f
ATP8B2	Atp8b2	Atp8b2
ATP8B1	Atp8b1	Atp8b1
ADGRG3	Adgrg3	Adgrg3
SH3GLB1	Sh3glb1	Sh3glb1
PRDX5	Prdx5	Prdx5
CRTAM	Crtam	Crtam
EGLN3	Egln3	Egln3
PDP1	Pdp1	Pdp1
EIF3I	Eif3i	Eif3i
PLAGL2	Plagl2	Plagl2
PLXNC1	Plxnc1	Plxnc1
FEZF2	Fezf2	Fezf2
RCAN1	Rcan1	Rcan1
TYK2	Tyk2	Tyk2
GSDME	Gsdme	Gsdme
TFIP11	Tfip11	Tfip11
CADM1	Cadm1	Cadm1
SYT8	Syt8	Syt8
HES6	Hes6	Hes6
RP9	Rp9	Rp9
FNBP4	Fnbp4	Fnbp4
CTPS2	Ctps2	Ctps2
APOM	Apom	Apom
SERTAD1	Sertad1	Sertad1
STX8	Stx8	Stx8
EIF3D	Eif3d	Eif3d
AP3M1	Ap3m1	Ap3m1
DCLRE1A	Dclre1a	Dclre1a
SFN	Sfn	Sfn
EEF1B2	Eef1b2	Eef1b2
BRI3	Bri3	Bri3
MPC1	Mpc1	Mpc1
EBAG9	Ebag9	Ebag9
SLC13A1	Slc13a1	Slc13a1
SLC1A4	Slc1a4	Slc1a4
IFT20	Ift20	Ift20
AGPAT1	Agpat1	Agpat1
IMPA1	Impa1	Impa1
PIGB	Pigb	Pigb
PAXIP1	Paxip1	Paxip1
PDZRN3	Pdzrn3	Pdzrn3
CAMKK1	Camkk1	Camkk1
CXCL13	Cxcl13	Cxcl13
CPXM2	Cpxm2	Cpxm2
SNX12	Snx12	Snx12
NOP58	Nop58	Nop58
FMO2	Fmo2	Fmo2
PANX1	Panx1	Panx1
TRIM3	Trim3	Trim3
MSH4	Msh4	Msh4
SMAD9	Smad9	Smad9
SRCIN1	Srcin1	Srcin1
OR13J1	Or13j1	Or13j1
HEBP2	Hebp2	Hebp2
SLC2A8	Slc2a8	Slc2a8
STARD10	Stard10	Stard10
TMEM131	Tmem131	Tmem131
PPIE	Ppie	Ppie
NPRL2	Nprl2	Nprl2
CCNL2	Ccnl2	Ccnl2
RPLP1	Rplp1	Rplp1
USO1	Uso1	Uso1
AKR1E2	Akr1e1	Akr1e2
RALA	Rala	Rala
SAMHD1	Samhd1	Samhd1
UQCC1	Uqcc1	Uqcc1
MSLN	Msln	NA
LGALS8	Lgals8	Lgals8
CYP39A1	Cyp39a1	Cyp39a1
GTPBP2	Gtpbp2	Gtpbp2
BTG4	Btg4	Btg4
AMMECR1	Ammecr1	Ammecr1
IL17B	Il17b	Il17b
TCERG1	Tcerg1	Tcerg1
LGALS12	Lgals12	Lgals12
PDSS1	Pdss1	Pdss1
DGKE	Dgke	Dgke
CA5B	Car5b	Car5b
ASTN2	Astn2	Astn2
SCAF1	Scaf1	Scaf1
GORASP1	Gorasp1	Gorasp1
UBQLN1	Ubqln1	Ubqln1
SET	Set	Set
DNAH10	Dnah10	Dnah10
PSMG1	Psmg1	Psmg1
RAMP3	Ramp3	Ramp3
FTSJ3	Ftsj3	Ftsj3
PLAC1	Plac1	Plac1
TAMALIN	Tamalin	Tamalin
MAD2L1	Mad2l1	Mad2l1
CLDN14	Cldn14	Cldn14
NAGK	Nagk	Nagk
BACE2	Bace2	Bace2
PIGP	Pigp	Pigp
OLFM1	Olfm1	Olfm1
NMU	Nmu	Nmu
MSGN1	Msgn1	Msgn1
HAO2	Hao2	Hao2
RABGGTA	Rabggta	Rabggta
FXYD1	Fxyd1	Fxyd1
PRODH2	Prodh2	Prodh2
RBM38	Rbm38	Rbm38
TRO	Tro	NA
PLEK	Plek	Plek
PRPF40A	Prpf40a	Prpf40a
PTBP2	Ptbp2	Ptbp2
TDP2	Tdp2	Tdp2
HEYL	Heyl	Heyl
ABCB10	Abcb10	Abcb10
DDX21	Ddx21	Ddx21
